idingreso,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_x,tipo_persona,nombre_proveedor,tipo_documento_proveedor,num_documento_proveedor,direccion_proveedor,telefono_proveedor,email_proveedor,nombre,tipo_documento,num_documento,direccion,telefono,email,clave,estado_y
166634843,Recibo,9547052,,2023-02-11,16.35,52582.52,Completada,proveedor,Richard Pugh,DNI,116095901656072,"0102 Scott Turnpike New Zachary, NE 94007",238.745.,kennethhester@gmail.com,Andrew Moore,NIE,135049515542671,"004 Ryan Causeway Apt. 298 North Caitlinfurt, AZ 76835",(960)673,jacqueline69@yahoo.com,<memory at 0x1437ee680>,0
210701983,Recibo,5035649,,2022-02-26,7.0,29063.03,Completada,proveedor,Richard Collins,DNI,137333692742270,"810 Cassandra Neck Apt. 302 North Matthew, CT 45678",761-541-,yjordan@hotmail.com,Andrew Moore,NIE,135049515542671,"004 Ryan Causeway Apt. 298 North Caitlinfurt, AZ 76835",(960)673,jacqueline69@yahoo.com,<memory at 0x1437ee680>,0
514859029,Recibo,3651610,,2015-04-08,11.68,26526.54,En proceso,proveedor,Jose Butler,DNI,138807714920673,"510 Martin Court Apt. 122 Jeffreystad, UT 73602",(452)694,peggy60@hotmail.com,Darryl Bell,DNI,183149660023296,"99857 Hurst Green Apt. 361 Steelechester, PR 43261",955-838-,mayerhannah@gmail.com,<memory at 0x1437ff880>,1
554268044,Boleta de Venta,2612603,,2018-04-12,69.91,35047.36,Reembolsada,proveedor,Jose Butler,DNI,138807714920673,"510 Martin Court Apt. 122 Jeffreystad, UT 73602",(452)694,peggy60@hotmail.com,Roy Thomas,Pasaporte,146359266685921,"71577 Courtney Station Moorefort, ID 07018",(396)514,rachelpoole@yahoo.com,<memory at 0x143812e00>,0
413296662,Factura,3688475,,2018-10-26,56.67,23662.28,Completada,proveedor,Matthew Cole,Tarjeta Residencia,183055482262109,USS Hamilton FPO AA 03940,589.619.,acevedophilip@gmail.com,Jennifer Hernandez,Pasaporte,169023501736389,"57181 Li Street East Deborah, ME 28728",294-298-,zfranco@hotmail.com,<memory at 0x1437fe140>,0
646576582,Nota de Crédito,5564920,,2017-11-11,22.22,14319.32,Pendiente,proveedor,Matthew Cole,Tarjeta Residencia,183055482262109,USS Hamilton FPO AA 03940,589.619.,acevedophilip@gmail.com,Donald King,NIE,184969331882520,"3938 Kimberly Pine Apt. 112 East Hunter, VA 69467",(677)764,bennettdawn@gmail.com,<memory at 0x1438001c0>,0
873889815,Boleta de Venta,3938332,,2020-02-23,18.77,41480.56,Cancelada,proveedor,Carrie Washington,DNI,163507934316005,"1189 Veronica Rapids Josephton, OR 77346",+1-213-8,brandonmanning@gmail.com,Tiffany Espinoza,NIE,118330623717413,Unit 5620 Box 7183 DPO AE 10870,001-390-,irussell@gmail.com,<memory at 0x1437ec700>,1
585628402,Recibo,5049114,,2021-09-12,55.92,34974.82,Pendiente,proveedor,Carrie Washington,DNI,163507934316005,"1189 Veronica Rapids Josephton, OR 77346",+1-213-8,brandonmanning@gmail.com,Kathy Alexander,Pasaporte,125134202532027,"929 John Locks West Melissaton, AZ 48086",001-621-,fpowell@gmail.com,<memory at 0x1437eff40>,0
472164218,Ticket de Venta,2385800,,2016-05-15,34.42,6335.65,Completada,proveedor,Cathy Richards,NIE,189053958832473,"7016 Powell Drives Apt. 287 North Kaylaton, FM 07790",87849592,yorkjennifer@gmail.com,Kathy Alexander,Pasaporte,125134202532027,"929 John Locks West Melissaton, AZ 48086",001-621-,fpowell@gmail.com,<memory at 0x1437eff40>,0
422045720,Factura,9541661,,2020-11-28,4.04,19659.98,Pendiente,proveedor,Tracy Williams,Tarjeta Residencia,131687256497710,"98147 Simpson Curve Apt. 678 Davidbury, MI 41329",402.888.,curtisrobert@hotmail.com,David Reeves,DNI,173251603969567,"341 Grimes Summit Vangview, UT 02948",(751)992,blawrence@yahoo.com,<memory at 0x143833280>,1
398596993,Factura,2288531,,2020-08-02,77.66,11081.33,Cancelada,proveedor,Tommy Bowen,Pasaporte,174665819869682,"165 Meza Isle Lake Larrystad, MS 50472",980.454.,meaganporter@yahoo.com,David Reeves,DNI,173251603969567,"341 Grimes Summit Vangview, UT 02948",(751)992,blawrence@yahoo.com,<memory at 0x143833280>,1
691415066,Boleta de Venta,2689053,,2022-06-02,84.32,41130.43,Cancelada,proveedor,George Weiss,Tarjeta Residencia,166711428165687,USNS Baker FPO AA 06282,(760)329,hancockthomas@hotmail.com,John Lucas,DNI,116844553379962,"7805 Holt Locks East Tony, PW 27909",001-802-,pjackson@yahoo.com,<memory at 0x1437edfc0>,0
565401631,Recibo,9941029,,2018-11-22,43.83,63125.99,Reembolsada,proveedor,Rodney Mullen,NIE,118946816698087,"PSC 3759, Box 6030 APO AP 31351",844-268-,mackenzie48@gmail.com,Brad Stein,Pasaporte,107589787968360,"2991 Donald Island Collierchester, PR 18898",261.420.,alan74@gmail.com,<memory at 0x14380ba00>,0
589087072,Nota de Débito,6181259,,2021-01-04,56.35,29707.55,Completada,proveedor,Rodney Mullen,NIE,118946816698087,"PSC 3759, Box 6030 APO AP 31351",844-268-,mackenzie48@gmail.com,Nicholas Boyd,NIE,187441990104689,"46665 Ingram Mill Apt. 558 Christopherfurt, NM 89320",001-367-,xcarson@gmail.com,<memory at 0x14383d300>,0
900853792,Recibo,2463784,,2019-09-21,70.0,5371.32,En proceso,proveedor,Melissa Cline,Tarjeta Residencia,120535287069499,"587 Maria Estate Suite 788 Port Andrea, FM 54221",626.231.,leeashley@yahoo.com,Joyce Patrick,Pasaporte,156841953970082,"63037 Christopher Trace Suite 212 Lake Christopher, WA 95270",661.290.,ybarr@gmail.com,<memory at 0x143868280>,1
550837444,Boleta de Venta,3718318,,2016-08-13,58.14,22731.95,En proceso,proveedor,Melissa Cline,Tarjeta Residencia,120535287069499,"587 Maria Estate Suite 788 Port Andrea, FM 54221",626.231.,leeashley@yahoo.com,Sara Williams,NIE,182014411844512,"53293 Oscar Harbor Suite 716 Lake Tiffanychester, ND 46442",785-328-,vvargas@hotmail.com,<memory at 0x143811000>,0
367285679,Nota de Crédito,5838235,,2021-04-01,66.24,45793.0,Cancelada,proveedor,Melissa Cline,Tarjeta Residencia,120535287069499,"587 Maria Estate Suite 788 Port Andrea, FM 54221",626.231.,leeashley@yahoo.com,Keith Bailey,DNI,131006502384002,"100 Robinson Village East Lisaport, PW 87188",+1-729-8,hhogan@yahoo.com,<memory at 0x1437fc580>,1
470278468,Nota de Débito,6897998,,2017-08-23,62.76,11559.0,Pendiente,proveedor,Bruce Bailey,Pasaporte,152643673666447,"067 Mcconnell Crest East Richardmouth, PR 06685",830.435.,jennifer54@yahoo.com,Keith Bailey,DNI,131006502384002,"100 Robinson Village East Lisaport, PW 87188",+1-729-8,hhogan@yahoo.com,<memory at 0x1437fc580>,1
263849650,Nota de Débito,3131029,,2015-11-23,36.7,40969.77,Reembolsada,proveedor,Melissa Cline,Tarjeta Residencia,120535287069499,"587 Maria Estate Suite 788 Port Andrea, FM 54221",626.231.,leeashley@yahoo.com,Nicole Mckinney,NIE,184856050181271,"2696 Marsh Extensions Suite 544 Dawnville, KS 39342",(768)438,nwhite@yahoo.com,<memory at 0x143816b00>,1
779562540,Nota de Débito,8310293,,2015-03-04,30.87,40320.91,Cancelada,proveedor,Lindsey Griffin,NIE,104263974797284,"8144 Gibson Meadow Apt. 123 Victoriastad, MD 14560",323.916.,xmayer@hotmail.com,Nicole Mckinney,NIE,184856050181271,"2696 Marsh Extensions Suite 544 Dawnville, KS 39342",(768)438,nwhite@yahoo.com,<memory at 0x143816b00>,1
496572451,Boleta de Venta,5615661,,2015-01-13,70.97,49311.99,Reembolsada,proveedor,Justin Hebert,Pasaporte,137309860351426,"6080 Watkins Isle East Richardberg, SD 97492",(531)666,kristin00@hotmail.com,Mr. Nicholas Lewis DDS,Pasaporte,108240579031158,"80352 David Pass South Bruceberg, AS 70285",415-279-,wjohnson@hotmail.com,<memory at 0x1437edd80>,1
240269348,Factura,9705517,,2015-03-09,49.81,48567.51,En proceso,proveedor,Daniel Schwartz,Tarjeta Residencia,147305169454336,"8447 Marissa Crossroad Suite 305 Wrightshire, RI 67416",+1-774-6,johnsonjennifer@hotmail.com,Shannon Smith,Pasaporte,114323173737334,"7686 Matthew Locks Sarahbury, WA 76259",389.914.,ujohnson@gmail.com,<memory at 0x14380be80>,0
944206738,Nota de Débito,1467302,,2016-03-03,27.15,1132.25,Cancelada,proveedor,Daniel Ramirez,NIE,131453986188893,"822 Robert Alley Suite 383 Mitchellland, MI 53289",23159673,patrick42@gmail.com,Shannon Smith,Pasaporte,114323173737334,"7686 Matthew Locks Sarahbury, WA 76259",389.914.,ujohnson@gmail.com,<memory at 0x14380be80>,0
461724999,Nota de Crédito,7761178,,2015-10-06,38.24,25032.85,Reembolsada,proveedor,Christopher Reed,NIE,165511774587281,"59022 Denise Stream Suite 250 New Tiffany, HI 20100",369-259-,colleenroberts@gmail.com,Shannon Smith,Pasaporte,114323173737334,"7686 Matthew Locks Sarahbury, WA 76259",389.914.,ujohnson@gmail.com,<memory at 0x14380be80>,0
333915212,Boleta de Venta,6294601,,2018-09-30,16.84,4585.01,Cancelada,proveedor,Daniel Schwartz,Tarjeta Residencia,147305169454336,"8447 Marissa Crossroad Suite 305 Wrightshire, RI 67416",+1-774-6,johnsonjennifer@hotmail.com,Katherine Jackson,DNI,120565004102310,"350 Odonnell Canyon Suite 148 New Luismouth, HI 07090",001-321-,moorerhonda@gmail.com,<memory at 0x1438034c0>,1
336392228,Factura,2674743,,2016-01-02,23.23,50183.11,Completada,proveedor,Rebecca Webb,DNI,133249985544493,"787 Munoz Mount Suite 500 Davisburgh, CO 55015",(592)729,leslie77@yahoo.com,Carmen Medina,NIE,192117326318298,"419 Hanson Lakes Suite 507 Bryanttown, TN 26219",(979)626,lopezrichard@yahoo.com,<memory at 0x143808a00>,0
112605232,Nota de Débito,9599040,,2021-01-21,87.69,97213.81,En proceso,proveedor,Johnny Harvey,DNI,166409980941203,"87114 Steven Row Apt. 163 North Molly, FL 44771",+1-274-9,john62@gmail.com,Steven Jackson,NIE,171418095377236,"25359 Williams Pines Suite 624 Johnsonshire, AL 57661",688-856-,kathyjohnson@yahoo.com,<memory at 0x14380b400>,1
422771825,Ticket de Venta,2055292,,2016-09-20,17.56,3036.71,En proceso,proveedor,Johnny Harvey,DNI,166409980941203,"87114 Steven Row Apt. 163 North Molly, FL 44771",+1-274-9,john62@gmail.com,Matthew Bradley,NIE,137912485262297,USCGC Taylor FPO AE 17488,958.892.,brittanysmith@yahoo.com,<memory at 0x1438128c0>,0
650573287,Recibo,5580239,,2020-12-14,21.01,76805.02,Completada,proveedor,Johnny Harvey,DNI,166409980941203,"87114 Steven Row Apt. 163 North Molly, FL 44771",+1-274-9,john62@gmail.com,David Reyes,DNI,170596863793798,"6321 Whitney Divide North Andreahaven, NH 93516",373-832-,everettcarla@yahoo.com,<memory at 0x143802680>,0
960109373,Ticket de Venta,5641051,,2016-09-07,43.6,32126.04,Cancelada,proveedor,Adam Walker,Pasaporte,160289210299076,"93719 Ramos Ridge Apt. 665 Port Brendamouth, UT 60403",(217)494,heatherwilson@hotmail.com,David Reyes,DNI,170596863793798,"6321 Whitney Divide North Andreahaven, NH 93516",373-832-,everettcarla@yahoo.com,<memory at 0x143802680>,0
717942836,Recibo,5603393,,2022-06-05,55.89,16375.48,Cancelada,proveedor,Paul Stafford,Tarjeta Residencia,165475725561832,"60777 Russell Path New Mathew, OR 78984",(939)309,kimberlywilson@gmail.com,Francisco Morton,DNI,180269578646783,"420 Marc Track Kimbury, VI 49475",949-776-,robinsonmichael@gmail.com,<memory at 0x143825300>,1
189859895,Ticket de Venta,8699972,,2017-08-25,11.65,49851.63,En proceso,proveedor,Mark Stein,DNI,151059612084752,"418 Courtney Stravenue Apt. 998 Lake Allisonshire, CO 79724",725.516.,sanchezcaitlyn@hotmail.com,Steven Johnson,Pasaporte,172487450510054,"256 John Village Austinland, IA 71858",55126122,swalker@yahoo.com,<memory at 0x143808d00>,1
695861311,Recibo,8790090,,2019-11-17,48.69,85593.85,Completada,proveedor,Troy Simpson,Tarjeta Residencia,115938595329343,"74217 Thomas Dale Suite 606 Hamiltonside, WY 89401",429-797-,jordan57@hotmail.com,Reginald Nixon,DNI,135539141715991,"39646 Victoria Forge Joshuaside, VA 77666",001-738-,elizabethbrown@gmail.com,<memory at 0x1437ec340>,0
327284903,Nota de Débito,3801254,,2023-05-11,85.83,79774.02,En proceso,proveedor,Troy Simpson,Tarjeta Residencia,115938595329343,"74217 Thomas Dale Suite 606 Hamiltonside, WY 89401",429-797-,jordan57@hotmail.com,Robert Torres,NIE,123795243942137,"2662 Tiffany Crossroad Langfurt, NC 53833",380.517.,echavez@yahoo.com,<memory at 0x1437f10c0>,1
956846955,Ticket de Venta,3312515,,2023-05-08,18.4,12570.22,Reembolsada,proveedor,Troy Simpson,Tarjeta Residencia,115938595329343,"74217 Thomas Dale Suite 606 Hamiltonside, WY 89401",429-797-,jordan57@hotmail.com,Anita Martin,DNI,168559551192340,"464 Tracy Vista South Joshuaberg, DE 15883",626.902.,victoriamarquez@hotmail.com,<memory at 0x143825c00>,0
104921154,Nota de Débito,9988174,,2019-09-07,11.05,87743.55,Cancelada,proveedor,Jennifer Lucas,DNI,164899442745445,"224 Mikayla Field Lake Eric, AS 66253",(721)397,bryantmichael@gmail.com,Sarah Martin,DNI,174264099709852,"857 Jones Path Joycetown, IA 20829",001-736-,amanda38@hotmail.com,<memory at 0x143810f40>,1
431639088,Nota de Crédito,2245218,,2017-12-22,73.25,71284.86,En proceso,proveedor,Louis Pittman,Tarjeta Residencia,145565807594359,"64557 Stephen Pines Port Jay, AL 23617",001-959-,eric37@gmail.com,Sarah Martin,DNI,174264099709852,"857 Jones Path Joycetown, IA 20829",001-736-,amanda38@hotmail.com,<memory at 0x143810f40>,1
871670290,Recibo,7238201,,2016-06-21,86.44,15386.39,Reembolsada,proveedor,Lindsey Griffin,NIE,104263974797284,"8144 Gibson Meadow Apt. 123 Victoriastad, MD 14560",323.916.,xmayer@hotmail.com,Sarah Martin,DNI,174264099709852,"857 Jones Path Joycetown, IA 20829",001-736-,amanda38@hotmail.com,<memory at 0x143810f40>,1
543942725,Recibo,3496016,,2017-01-27,0.64,60050.91,Completada,proveedor,John Smith,Tarjeta Residencia,104894890865205,"383 Hurst Cove Suite 620 Davisbury, MH 04155",(260)517,jared67@hotmail.com,Melinda Martinez,Pasaporte,194860437348604,"3746 Miller Mission Pamfurt, NY 42991",514-931-,gwilliams@hotmail.com,<memory at 0x1437f1180>,1
463017749,Recibo,9441036,,2020-09-01,78.44,24038.05,Pendiente,proveedor,John Smith,Tarjeta Residencia,104894890865205,"383 Hurst Cove Suite 620 Davisbury, MH 04155",(260)517,jared67@hotmail.com,Madison Richardson,DNI,187573165039185,"1508 Roy Stravenue South Jenniferport, GU 38417",679.364.,orios@yahoo.com,<memory at 0x14383c400>,1
744456590,Nota de Débito,4102585,,2022-08-04,12.37,76940.35,Pendiente,proveedor,Amanda Atkins,Pasaporte,127378054785643,"1728 Wade Junction Suite 540 Hernandezmouth, MT 68897",001-901-,kperry@hotmail.com,Madison Richardson,DNI,187573165039185,"1508 Roy Stravenue South Jenniferport, GU 38417",679.364.,orios@yahoo.com,<memory at 0x14383c400>,1
871536710,Recibo,6545489,,2023-01-15,45.68,83817.26,Completada,proveedor,Virginia Howard,DNI,181173251524147,"354 Williams Ports South Danafurt, MA 79938",(793)251,lisavincent@yahoo.com,Mario Sawyer,Pasaporte,155088712914025,"999 Nguyen Throughway Lake Melissatown, NJ 90040",001-506-,philipmiller@yahoo.com,<memory at 0x143815f00>,1
473187022,Boleta de Venta,5317383,,2022-08-22,11.56,53944.16,Reembolsada,proveedor,Virginia Howard,DNI,181173251524147,"354 Williams Ports South Danafurt, MA 79938",(793)251,lisavincent@yahoo.com,Valerie Dalton,Pasaporte,137910689111087,"53914 Martinez Square Lake Michaelville, WV 33805",608.210.,rsmith@yahoo.com,<memory at 0x1438147c0>,1
191738858,Ticket de Venta,4576250,,2022-05-15,22.67,98378.26,Completada,proveedor,James Gill,Tarjeta Residencia,108708808282481,"PSC 6010, Box 2979 APO AP 38195",+1-536-6,sadams@yahoo.com,Valerie Dalton,Pasaporte,137910689111087,"53914 Martinez Square Lake Michaelville, WV 33805",608.210.,rsmith@yahoo.com,<memory at 0x1438147c0>,1
389618708,Nota de Débito,3142673,,2023-01-22,25.55,88094.53,Reembolsada,proveedor,Timothy Green,NIE,121419181533102,"30766 Zuniga Valleys Apt. 336 Taylorside, LA 28886",292-711-,msmith@hotmail.com,Valerie Dalton,Pasaporte,137910689111087,"53914 Martinez Square Lake Michaelville, WV 33805",608.210.,rsmith@yahoo.com,<memory at 0x1438147c0>,1
790792065,Factura,2258826,,2016-12-04,62.59,74843.25,Completada,proveedor,Ashley Martinez,Pasaporte,161931590459752,"921 Phillips Underpass East Williammouth, OK 86445",001-871-,mannallison@gmail.com,Valerie Dalton,Pasaporte,137910689111087,"53914 Martinez Square Lake Michaelville, WV 33805",608.210.,rsmith@yahoo.com,<memory at 0x1438147c0>,1
693624175,Factura,2862431,,2019-06-06,14.65,65432.63,Cancelada,proveedor,Virginia Howard,DNI,181173251524147,"354 Williams Ports South Danafurt, MA 79938",(793)251,lisavincent@yahoo.com,Melissa Murillo,Pasaporte,124275912114579,"560 Christina Lodge Apt. 943 Port Sharonland, MA 68559",+1-555-3,xgray@yahoo.com,<memory at 0x1437fcdc0>,1
823144976,Nota de Crédito,1083963,,2018-07-05,79.62,34473.92,Completada,proveedor,Andrew Ward,DNI,135830283934230,"390 Manuel Falls Suite 633 West Ashley, NY 06966",328-574-,patricklaura@hotmail.com,Melissa Murillo,Pasaporte,124275912114579,"560 Christina Lodge Apt. 943 Port Sharonland, MA 68559",+1-555-3,xgray@yahoo.com,<memory at 0x1437fcdc0>,1
877572169,Nota de Débito,3760208,,2017-12-20,84.03,74323.99,En proceso,proveedor,Paul Perry,NIE,116337960043576,"9730 Stevenson Brooks Port Allison, ME 40701",001-653-,emurphy@gmail.com,Dustin Acevedo,NIE,116185747114867,"9819 Deanna Oval New Barbara, MT 64383",861.784.,vernonmiller@yahoo.com,<memory at 0x14380bdc0>,1
202397910,Factura,2652391,,2017-04-28,29.72,67885.36,En proceso,proveedor,Marvin Turner,NIE,140360987120030,"416 Jeremy Grove North Michelle, SD 49770",(519)512,rsmith@hotmail.com,Dustin Acevedo,NIE,116185747114867,"9819 Deanna Oval New Barbara, MT 64383",861.784.,vernonmiller@yahoo.com,<memory at 0x14380bdc0>,1
343916974,Boleta de Venta,9861591,,2023-11-20,87.45,91578.14,Reembolsada,proveedor,Andre Li,NIE,118684924719149,"660 Brianna Mews Suite 448 South Kennethburgh, WV 46925",779.842.,garciamichelle@gmail.com,Dustin Acevedo,NIE,116185747114867,"9819 Deanna Oval New Barbara, MT 64383",861.784.,vernonmiller@yahoo.com,<memory at 0x14380bdc0>,1
919090350,Nota de Débito,6648999,,2015-11-18,7.67,98088.33,En proceso,proveedor,Paul Perry,NIE,116337960043576,"9730 Stevenson Brooks Port Allison, ME 40701",001-653-,emurphy@gmail.com,Ana Jordan,NIE,175349874663883,USNV Hill FPO AA 52764,559.587.,tracy45@yahoo.com,<memory at 0x1437fe2c0>,0
460014365,Factura,6497084,,2016-02-12,72.63,48783.15,Cancelada,proveedor,Sarah Summers,DNI,162084772833889,"7353 Mcclain Port Jasonmouth, NE 56974",+1-244-4,susan30@gmail.com,Ana Jordan,NIE,175349874663883,USNV Hill FPO AA 52764,559.587.,tracy45@yahoo.com,<memory at 0x1437fe2c0>,0
430645322,Nota de Crédito,9214032,,2021-05-18,65.52,16714.51,Cancelada,proveedor,Mike Myers,Pasaporte,116488573522797,USNV Howell FPO AE 40238,256-734-,smithamanda@hotmail.com,Lisa West,DNI,134210639685240,"97959 Colon Pine Suite 111 Port Maryfurt, MI 56384",+1-815-7,halvarez@gmail.com,<memory at 0x14383d600>,0
757485112,Nota de Débito,7800350,,2015-03-17,90.48,82428.55,Reembolsada,proveedor,Mike Myers,Pasaporte,116488573522797,USNV Howell FPO AE 40238,256-734-,smithamanda@hotmail.com,Deborah Wallace,NIE,161020387531023,"9170 Leslie Lodge Suite 077 Franklinville, PR 73705",(755)317,lorimerritt@hotmail.com,<memory at 0x1437f1900>,1
672699574,Factura,8639657,,2017-11-28,47.96,67198.31,Cancelada,proveedor,Cheryl Thomas,Tarjeta Residencia,118008504946966,"8774 Davis Forest Lake Melissaberg, OR 19944",(398)568,williamszachary@yahoo.com,Deborah Wallace,NIE,161020387531023,"9170 Leslie Lodge Suite 077 Franklinville, PR 73705",(755)317,lorimerritt@hotmail.com,<memory at 0x1437f1900>,1
853151826,Ticket de Venta,6869074,,2021-12-24,77.15,76984.56,Reembolsada,proveedor,Victoria Moses,Tarjeta Residencia,140048455883757,"9681 Caldwell Fort Ingramhaven, FM 46560",+1-311-9,rmolina@hotmail.com,Adam Colon,NIE,146989216309469,"068 James Extensions Apt. 252 Erinton, SD 97641",874-442-,alex23@gmail.com,<memory at 0x1437f0880>,1
870573213,Ticket de Venta,6753440,,2018-11-16,47.52,80792.54,Cancelada,proveedor,Victoria Moses,Tarjeta Residencia,140048455883757,"9681 Caldwell Fort Ingramhaven, FM 46560",+1-311-9,rmolina@hotmail.com,Ashley Jimenez,Pasaporte,146943156951086,"301 Parker Turnpike East Brendanhaven, MS 91593",+1-748-5,sanchezmichelle@hotmail.com,<memory at 0x1437ec880>,0
188950356,Recibo,7743322,,2023-07-26,26.78,43177.15,Cancelada,proveedor,Victoria Moses,Tarjeta Residencia,140048455883757,"9681 Caldwell Fort Ingramhaven, FM 46560",+1-311-9,rmolina@hotmail.com,Patrick Brown,Pasaporte,159486618456119,"9476 Love Drive New Annport, NM 42884",79171873,moorechristopher@yahoo.com,<memory at 0x1437ecac0>,1
719360084,Recibo,6551641,,2015-09-10,38.29,53380.22,Cancelada,proveedor,Brian Thomas,Tarjeta Residencia,127848213764588,"814 Moreno Center North Karen, MH 88708",597-331-,jeffrey27@gmail.com,Morgan Williams,Pasaporte,119481927263941,"526 Anna Springs Apt. 245 West Terrance, WY 10394",899-726-,jaclyn52@yahoo.com,<memory at 0x14383f940>,1
992215016,Boleta de Venta,8009706,,2017-09-10,46.91,37752.92,Cancelada,proveedor,Paul Jones,DNI,177675199394956,"42754 Thompson Plains Apt. 509 Johnstonstad, AR 62760",001-771-,rsanchez@gmail.com,Morgan Williams,Pasaporte,119481927263941,"526 Anna Springs Apt. 245 West Terrance, WY 10394",899-726-,jaclyn52@yahoo.com,<memory at 0x14383f940>,1
769521755,Factura,3186779,,2021-08-21,13.48,27328.77,Pendiente,proveedor,Benjamin Neal,Pasaporte,158795117558697,"71311 Young Extension Apt. 204 Colleenport, MI 54011",001-796-,smithjames@hotmail.com,Monique Foster,DNI,162269173213346,"73578 Alyssa Via Harrisland, MI 48334",(555)741,jeffrey85@yahoo.com,<memory at 0x1437eebc0>,1
156942437,Factura,3285098,,2017-03-15,81.56,33566.19,Pendiente,proveedor,Benjamin Neal,Pasaporte,158795117558697,"71311 Young Extension Apt. 204 Colleenport, MI 54011",001-796-,smithjames@hotmail.com,Crystal Mcbride,NIE,181496774992187,"71465 Wilson Squares Apt. 215 Jamesside, WA 70137",+1-875-8,nbyrd@yahoo.com,<memory at 0x1437f2f80>,1
574250101,Nota de Débito,6515840,,2015-04-10,26.8,30233.22,En proceso,proveedor,Benjamin Neal,Pasaporte,158795117558697,"71311 Young Extension Apt. 204 Colleenport, MI 54011",001-796-,smithjames@hotmail.com,Rachel Choi,NIE,154341462037112,"3172 Christopher Extensions Lake Joshuaton, WI 41969",708-885-,john96@gmail.com,<memory at 0x143802140>,1
