idventa,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_venta,tipo_persona,nombre_cliente,tipo_documento_cliente,num_documento_cliente,direccion_cliente,telefono_cliente,email_cliente,nombre_usuario,tipo_documento_usuario,num_documento_usuario,direccion_usuario,telefono_usuario,email_usuario,clave,estado_cliente
571075,Boleta de Venta,4521643,46257834,2020-12-15,93.44,47777.65,Reembolsada,cliente,Kristina Hamilton,NIE,195374982193860,"638 Sean Lodge Port Johnview, ME 29693",303-780-,ralvarez@gmail.com,Christian Knight,NIE,158636285246543,"888 Daniel Circles North Sarahburgh, NJ 94773",708.347.,kristin96@gmail.com,<memory at 0x11df23880>,1
518128,Recibo,4487155,81543162,2021-12-26,63.44,27482.64,Pendiente,cliente,John Ellis,NIE,152492864386077,"4692 Stephen Mills Apt. 944 Mccallshire, TX 54926",001-420-,david68@yahoo.com,Melinda Taylor,DNI,114487380715978,"PSC 2093, Box 6007 APO AP 22708",517-417-,michaelhudson@gmail.com,<memory at 0x11df0d480>,0
563242,Factura,9119786,31934500,2023-05-24,66.78,18545.88,Reembolsada,cliente,Frank Patrick,NIE,142568823656133,"7651 Anthony Roads East Andreaport, RI 34496",001-947-,irivas@hotmail.com,Sean Cooper,Pasaporte,102649197828943,"85368 Kristie Pine Suite 961 Estradaside, AL 24417",(913)367,patrickprice@yahoo.com,<memory at 0x11df1e200>,0
456287,Recibo,2494007,82736697,2023-02-04,37.92,95706.44,En proceso,cliente,Jasmin Owen,Pasaporte,189142684430498,"55925 Yvonne Corners Apt. 163 South Jeffrey, MA 50922",001-409-,allenrichard@hotmail.com,Sean Cooper,Pasaporte,102649197828943,"85368 Kristie Pine Suite 961 Estradaside, AL 24417",(913)367,patrickprice@yahoo.com,<memory at 0x11df1e200>,0
506121,Recibo,5429533,23804206,2015-10-24,80.78,42099.93,Reembolsada,cliente,Frank Patrick,NIE,142568823656133,"7651 Anthony Roads East Andreaport, RI 34496",001-947-,irivas@hotmail.com,Katherine Arellano,NIE,158590934589617,Unit 7172 Box 4965 DPO AP 91309,(813)309,orozcomelinda@gmail.com,<memory at 0x11deff400>,0
974892,Boleta de Venta,4735022,45271073,2019-04-11,21.22,1355.56,Pendiente,cliente,Victoria Mata,DNI,124552739086988,"4153 Jessica Passage Apt. 489 West Carrie, AS 96992",736-404-,htodd@hotmail.com,Christopher Brewer,NIE,171085060925208,"14536 John Cove Apt. 308 North Benjamin, OR 48612",597-744-,qdaniels@hotmail.com,<memory at 0x11df5c340>,1
135215,Boleta de Venta,3072046,72806446,2021-06-28,95.72,48371.1,Reembolsada,cliente,Julia Hughes,Pasaporte,130942744311091,"01151 Wright Spurs Suite 469 North Mary, NC 13738",001-775-,marie14@yahoo.com,Holly Grant,NIE,188561581238903,"223 Jack Mews Lopezfurt, AL 79864",653-858-,jonathangaines@hotmail.com,<memory at 0x11df14ac0>,0
916866,Factura,4670822,60327295,2018-09-15,42.2,69174.05,Reembolsada,cliente,Julia Hughes,Pasaporte,130942744311091,"01151 Wright Spurs Suite 469 North Mary, NC 13738",001-775-,marie14@yahoo.com,Ryan Peters,DNI,144469936593026,"06255 Adrienne Throughway Port Alicia, TX 38273",845.455.,sdixon@hotmail.com,<memory at 0x11defdb40>,0
696375,Nota de Crédito,7925811,29388852,2015-09-21,43.04,46516.08,Cancelada,cliente,Kathryn Carr,Tarjeta Residencia,113379972755185,"32886 Jessica Springs South Elijahfort, NJ 67643",248-927-,lopezerin@gmail.com,Danny Velez,NIE,101927166623025,"724 Ball Fords Apt. 078 Muellerberg, AS 97318",427.471.,jenkinslarry@gmail.com,<memory at 0x11df34e80>,0
994888,Nota de Crédito,9872932,56202793,2017-08-02,26.15,20173.01,Pendiente,cliente,Kathryn Carr,Tarjeta Residencia,113379972755185,"32886 Jessica Springs South Elijahfort, NJ 67643",248-927-,lopezerin@gmail.com,Robert Castillo,DNI,198173414295492,USNV White FPO AE 22586,001-865-,cunninghambarbara@gmail.com,<memory at 0x11df70c40>,1
383142,Nota de Crédito,3412161,46112967,2019-04-19,65.02,19972.59,Reembolsada,cliente,Christopher Burns,DNI,181576929207921,"36487 Velasquez Landing Walkershire, VI 58966",691-960-,cgray@gmail.com,Robert Castillo,DNI,198173414295492,USNV White FPO AE 22586,001-865-,cunninghambarbara@gmail.com,<memory at 0x11df70c40>,1
481336,Recibo,6363187,53379127,2020-08-01,67.91,52022.96,Completada,cliente,Jessica Adams MD,Tarjeta Residencia,154973925848303,"209 Brittany Islands South Michellebury, HI 90341",802.226.,riversjim@hotmail.com,Blake Flores,Pasaporte,154485235538182,"133 Gallagher Landing Apt. 731 East Danielmouth, WY 44817",714.345.,lmoreno@hotmail.com,<memory at 0x11df00f40>,1
518200,Boleta de Venta,7958581,21489721,2015-12-31,22.71,87439.06,En proceso,cliente,Thomas Ellis,DNI,181807125665862,"820 Amanda Flats South Andrew, NY 42867",001-776-,monica87@yahoo.com,Jesse Martin,DNI,153259488748720,"7905 Carter Lane Suite 896 West Kiaraton, OR 46629",001-934-,lindsey14@gmail.com,<memory at 0x11df299c0>,1
355957,Recibo,8359500,52547139,2017-09-02,12.76,65985.13,En proceso,cliente,Mallory Matthews,NIE,158579748106439,"36853 Amy Shoals East Heatherview, NC 11791",64538819,danielle19@hotmail.com,Jesse Martin,DNI,153259488748720,"7905 Carter Lane Suite 896 West Kiaraton, OR 46629",001-934-,lindsey14@gmail.com,<memory at 0x11df299c0>,1
311832,Boleta de Venta,5790265,74213974,2020-12-07,78.81,71889.63,Reembolsada,cliente,Thomas Ellis,DNI,181807125665862,"820 Amanda Flats South Andrew, NY 42867",001-776-,monica87@yahoo.com,William Hayden,DNI,106296103164603,"444 Logan Lane Melissaview, ID 50227",(632)547,john00@hotmail.com,<memory at 0x11df16c80>,0
789339,Recibo,3312496,77364112,2015-02-17,63.43,58030.72,Cancelada,cliente,Sabrina Martinez,NIE,192542651444164,"6281 Austin Haven Lake Vickieburgh, CA 71288",001-292-,frederickjohnson@gmail.com,William Hayden,DNI,106296103164603,"444 Logan Lane Melissaview, ID 50227",(632)547,john00@hotmail.com,<memory at 0x11df16c80>,0
235578,Recibo,6676534,33837116,2019-03-14,38.86,28072.81,Completada,cliente,Kristin Weaver,Pasaporte,174043328302119,"098 Riley Ville Apt. 306 West Christinemouth, PR 63926",71098585,sandersedward@hotmail.com,Daniel Jones,Pasaporte,122616529898299,"1853 David Pine Suite 057 Cynthiafurt, MD 39666",(912)991,careybrianna@yahoo.com,<memory at 0x11df1d6c0>,1
701923,Nota de Crédito,1174974,44901831,2023-09-10,27.86,85646.87,Pendiente,cliente,Samuel Foster,Pasaporte,126013075271138,"473 Marquez Grove Suite 549 West Jessica, CA 73650",(339)827,davisashley@gmail.com,Daniel Jones,Pasaporte,122616529898299,"1853 David Pine Suite 057 Cynthiafurt, MD 39666",(912)991,careybrianna@yahoo.com,<memory at 0x11df1d6c0>,1
382877,Recibo,2176915,73942933,2022-04-29,1.83,7434.9,Pendiente,cliente,Travis Thomas,Tarjeta Residencia,158052564662580,"110 Joel Square Buckleyberg, SD 96686",001-682-,brian43@gmail.com,Daniel Jones,Pasaporte,122616529898299,"1853 David Pine Suite 057 Cynthiafurt, MD 39666",(912)991,careybrianna@yahoo.com,<memory at 0x11df1d6c0>,1
343533,Ticket de Venta,8725956,79805898,2020-09-03,2.35,10952.02,En proceso,cliente,Kristin Weaver,Pasaporte,174043328302119,"098 Riley Ville Apt. 306 West Christinemouth, PR 63926",71098585,sandersedward@hotmail.com,Dawn Miranda,NIE,123844087394000,"271 Larry Crescent Jefferyfort, ME 84404",211-503-,tracysandoval@hotmail.com,<memory at 0x11df4a680>,1
288438,Ticket de Venta,7329448,49585831,2021-05-07,8.52,28015.75,En proceso,cliente,Kristin Weaver,Pasaporte,174043328302119,"098 Riley Ville Apt. 306 West Christinemouth, PR 63926",71098585,sandersedward@hotmail.com,Rachel Jones,DNI,105621309545812,"0409 Frank Trail Apt. 465 West Mary, NH 33343",001-869-,jeffery14@yahoo.com,<memory at 0x11df35900>,1
651615,Factura,1474936,51425686,2018-01-01,8.51,71689.41,En proceso,cliente,Alicia Daniel,Pasaporte,162047474528225,"61612 Watson Mountains Briannahaven, MT 62551",570-321-,regina81@hotmail.com,Rachel Jones,DNI,105621309545812,"0409 Frank Trail Apt. 465 West Mary, NH 33343",001-869-,jeffery14@yahoo.com,<memory at 0x11df35900>,1
703049,Nota de Crédito,6875753,84519549,2017-06-27,75.36,50751.59,En proceso,cliente,Olivia Washington,DNI,197889166554457,"843 Andrew Pines Apt. 362 North Peter, UT 34763",+1-688-6,burnettjessica@hotmail.com,Rachel Jones,DNI,105621309545812,"0409 Frank Trail Apt. 465 West Mary, NH 33343",001-869-,jeffery14@yahoo.com,<memory at 0x11df35900>,1
335935,Boleta de Venta,1114165,64653387,2021-05-19,14.78,13555.41,Pendiente,cliente,Daniel Diaz,Tarjeta Residencia,125789228372714,"PSC 4053, Box 7579 APO AP 84724",440.745.,leacherik@hotmail.com,Billy Mathis,Pasaporte,118433378847191,"537 Jean Turnpike Apt. 336 South Brian, TX 30482",78960847,holtanthony@yahoo.com,<memory at 0x11df0d780>,0
257063,Recibo,5897278,57441336,2020-11-30,98.7,30701.73,Pendiente,cliente,Richard Bernard,NIE,143157252277362,"7918 Laura Lights Caitlinfort, RI 69392",+1-281-2,aramirez@hotmail.com,Billy Mathis,Pasaporte,118433378847191,"537 Jean Turnpike Apt. 336 South Brian, TX 30482",78960847,holtanthony@yahoo.com,<memory at 0x11df0d780>,0
121834,Ticket de Venta,8498189,60007427,2022-08-12,8.82,86528.17,Completada,cliente,Daniel Diaz,Tarjeta Residencia,125789228372714,"PSC 4053, Box 7579 APO AP 84724",440.745.,leacherik@hotmail.com,David Blackburn,Pasaporte,101027806338848,"67129 Davis Knolls South Julieville, GU 23752",870.997.,douglascoleman@hotmail.com,<memory at 0x11df5c880>,1
600130,Boleta de Venta,5720120,77402191,2018-11-26,87.41,46627.69,Reembolsada,cliente,Robert Garner,Tarjeta Residencia,153683742271022,"7810 Amy Mill West Alexanderfort, OK 71054",+1-563-5,kcolon@yahoo.com,Joshua Benson,DNI,198245837334557,"85531 Hartman Gateway Codyburgh, OH 74883",(486)581,carrteresa@yahoo.com,<memory at 0x11dd23640>,0
365726,Recibo,1696923,51629247,2016-04-10,95.04,93532.02,Completada,cliente,Robert Garner,Tarjeta Residencia,153683742271022,"7810 Amy Mill West Alexanderfort, OK 71054",+1-563-5,kcolon@yahoo.com,Joseph Acevedo,NIE,197083271121067,"07015 Jason Pike Port Kimberlytown, GU 94801",534.529.,leamanda@hotmail.com,<memory at 0x11defeec0>,0
295756,Factura,6910813,60414831,2015-03-13,64.08,8337.41,Reembolsada,cliente,Jacqueline Gomez,Pasaporte,199113571523403,"7076 Timothy Harbor Erinland, CT 88701",+1-904-2,toddalexander@gmail.com,Joseph Acevedo,NIE,197083271121067,"07015 Jason Pike Port Kimberlytown, GU 94801",534.529.,leamanda@hotmail.com,<memory at 0x11defeec0>,0
370763,Recibo,5320766,79001681,2017-05-21,2.37,21143.02,Reembolsada,cliente,Mary Soto,NIE,183673248958624,"266 Mark Locks Apt. 289 Johnsberg, IN 14094",(646)298,stefanieharper@hotmail.com,William Wolfe,Pasaporte,174404280734060,"13885 Andrew Tunnel Aliville, PW 59262",218-836-,jennifergomez@hotmail.com,<memory at 0x11df034c0>,1
936896,Nota de Débito,9133037,96994281,2021-02-27,72.97,46161.22,Completada,cliente,Mary Soto,NIE,183673248958624,"266 Mark Locks Apt. 289 Johnsberg, IN 14094",(646)298,stefanieharper@hotmail.com,Karen Rowland,DNI,178773933015987,"30327 Lindsey Orchard Suite 752 Thomasville, ND 56051",694.270.,aguilarmichelle@yahoo.com,<memory at 0x11df201c0>,0
566209,Ticket de Venta,2266094,70239211,2016-01-07,8.47,20180.92,Reembolsada,cliente,April Stewart,NIE,100239112248736,"645 Barbara Corners Apt. 160 Oliviaville, NJ 25206",316.562.,sramirez@gmail.com,Karen Rowland,DNI,178773933015987,"30327 Lindsey Orchard Suite 752 Thomasville, ND 56051",694.270.,aguilarmichelle@yahoo.com,<memory at 0x11df201c0>,0
155728,Nota de Crédito,2986055,35891292,2021-09-26,46.18,337.85,Completada,cliente,Jody Dean,NIE,191851476599183,"595 Morris Prairie East Jeromeland, GU 77841",001-295-,johnsondanielle@hotmail.com,Jacqueline Hogan,DNI,170851857383078,USNS Henderson FPO AA 53935,+1-232-5,laurajones@yahoo.com,<memory at 0x11df499c0>,1
180562,Factura,1814892,99832197,2018-01-24,24.98,33402.16,Cancelada,cliente,Jody Dean,NIE,191851476599183,"595 Morris Prairie East Jeromeland, GU 77841",001-295-,johnsondanielle@hotmail.com,Katelyn Simpson,Pasaporte,163629542306629,"189 Valenzuela Islands Apt. 344 Dannyshire, IL 92525",001-876-,mark63@gmail.com,<memory at 0x11df1db40>,1
356461,Nota de Crédito,2355306,72558709,2015-03-24,70.41,63765.96,Pendiente,cliente,Eric Gonzales,Pasaporte,128479193615682,"277 Mary Curve Richardtown, PA 93615",+1-346-4,rodriguezryan@gmail.com,Katelyn Simpson,Pasaporte,163629542306629,"189 Valenzuela Islands Apt. 344 Dannyshire, IL 92525",001-876-,mark63@gmail.com,<memory at 0x11df1db40>,1
210566,Factura,1758813,68294243,2020-07-06,77.38,92068.1,Completada,cliente,Jody Dean,NIE,191851476599183,"595 Morris Prairie East Jeromeland, GU 77841",001-295-,johnsondanielle@hotmail.com,Jasmine Hughes,NIE,188572382234565,"7482 Daniel Forest Sharonshire, IL 92411",224.699.,brentbarnett@yahoo.com,<memory at 0x11df70d00>,1
583769,Nota de Crédito,1200215,80175212,2023-03-14,8.54,70670.8,Reembolsada,cliente,Jacqueline Gomez,Pasaporte,199113571523403,"7076 Timothy Harbor Erinland, CT 88701",+1-904-2,toddalexander@gmail.com,Troy Parker,DNI,101234697725515,"8736 Steven Trail Suite 916 Lake Gary, IL 76019",001-332-,sandovalchristine@gmail.com,<memory at 0x11df3ef80>,1
747615,Recibo,2699361,32444413,2019-09-19,22.6,82236.4,Cancelada,cliente,Samantha Russell,Tarjeta Residencia,184086688104376,"417 Matthew Roads Apt. 359 Meaganfurt, CT 71875",+1-431-8,seankline@gmail.com,John Foster,NIE,137003227567133,"0876 Sampson Brook Suite 674 Lake Michaelfort, KY 96185",654-396-,ccharles@hotmail.com,<memory at 0x11df22440>,1
807639,Recibo,4451061,89486085,2022-03-16,19.93,94204.06,Reembolsada,cliente,Samantha Russell,Tarjeta Residencia,184086688104376,"417 Matthew Roads Apt. 359 Meaganfurt, CT 71875",+1-431-8,seankline@gmail.com,Wanda Ponce,DNI,161037828171556,"465 Smith Ridge West Barry, MD 45268",897.443.,heathermcdonald@gmail.com,<memory at 0x11df5cc40>,1
412405,Nota de Crédito,8543000,88546091,2017-08-10,23.76,99942.15,Reembolsada,cliente,Rachel Ferguson,NIE,174330087631750,"72428 Perez Overpass Dennismouth, NV 59653",+1-629-4,john89@gmail.com,Wanda Ponce,DNI,161037828171556,"465 Smith Ridge West Barry, MD 45268",897.443.,heathermcdonald@gmail.com,<memory at 0x11df5cc40>,1
712801,Nota de Débito,9629795,71084144,2017-09-28,48.84,84483.31,En proceso,cliente,Gregory Robinson,NIE,151195613865362,USNV Rojas FPO AE 52171,+1-566-8,chunghunter@hotmail.com,Catherine Silva,NIE,129318313149842,"65586 Patton Grove Apt. 272 North Joshua, TN 95255",871-914-,samantha27@gmail.com,<memory at 0x11df36ec0>,0
546915,Boleta de Venta,4683879,50331764,2016-09-06,2.77,66679.33,Pendiente,cliente,Joshua Bell,DNI,187756516216525,"9683 Singleton Lakes Suite 412 West Rebecca, WY 67813",396.960.,chavezzachary@yahoo.com,Jodi Reed,NIE,106427446593125,"1981 Lucero Islands Burkeside, MP 94042",932-363-,vpalmer@yahoo.com,<memory at 0x11df3fb80>,0
460932,Factura,8056970,32575628,2022-03-19,29.46,20709.47,En proceso,cliente,Eric Gonzales,Pasaporte,128479193615682,"277 Mary Curve Richardtown, PA 93615",+1-346-4,rodriguezryan@gmail.com,Nicole Key,DNI,187139690204138,"233 Stephen Isle Apt. 972 North Cameron, CO 25384",577.567.,lisaclark@hotmail.com,<memory at 0x11df21000>,0
250704,Nota de Débito,3812200,14556025,2023-11-15,16.25,90524.24,Reembolsada,cliente,Eric Gonzales,Pasaporte,128479193615682,"277 Mary Curve Richardtown, PA 93615",+1-346-4,rodriguezryan@gmail.com,Daniel Garcia,Pasaporte,169993868016225,"291 Christopher Brook Suite 413 Alexandraview, MO 49269",001-995-,william49@yahoo.com,<memory at 0x11df14280>,0
201118,Nota de Crédito,6500819,46817752,2015-08-28,56.05,74682.75,Cancelada,cliente,Nancy Stuart,Tarjeta Residencia,179705128778390,"067 Erickson Shores Suite 739 Lake Joshuafurt, WY 32090",77378798,egarza@gmail.com,Daniel Garcia,Pasaporte,169993868016225,"291 Christopher Brook Suite 413 Alexandraview, MO 49269",001-995-,william49@yahoo.com,<memory at 0x11df14280>,0
247920,Nota de Crédito,4423798,18212984,2021-10-12,53.77,67177.71,Cancelada,cliente,Teresa Jenkins,DNI,140195339430670,"168 Stewart Estates Troyport, NC 36166",560.647.,larahaley@yahoo.com,Jennifer Roth,Pasaporte,133287953633338,"175 Rosales Prairie Suite 475 Lisaside, MT 83356",001-574-,matthewvargas@hotmail.com,<memory at 0x11defc340>,0
634149,Ticket de Venta,2786584,46939440,2019-06-15,24.83,16998.08,Cancelada,cliente,Teresa Jenkins,DNI,140195339430670,"168 Stewart Estates Troyport, NC 36166",560.647.,larahaley@yahoo.com,Samantha Mcintyre,DNI,195836729606889,USNV Moore FPO AA 26418,434-278-,knightaustin@yahoo.com,<memory at 0x11df17880>,1
170875,Boleta de Venta,6310816,87909286,2022-10-02,90.49,2203.93,En proceso,cliente,Julie Brooks,Pasaporte,140953675229419,"80859 Calhoun Tunnel North Kellytown, FM 00964",434.478.,jessica86@gmail.com,Samantha Mcintyre,DNI,195836729606889,USNV Moore FPO AA 26418,434-278-,knightaustin@yahoo.com,<memory at 0x11df17880>,1
399472,Nota de Débito,4204666,78399614,2016-11-25,49.5,58266.38,En proceso,cliente,Catherine Fernandez,DNI,124910247798514,"741 Donald Avenue South Mariastad, KY 62977",785-325-,heather04@hotmail.com,Jonathan Jacobson,Pasaporte,155199842201075,"72883 Rachel Tunnel Suite 176 Thomasmouth, WA 24389",827.860.,dawsontim@gmail.com,<memory at 0x11df3d540>,1
417908,Recibo,6412409,28778626,2017-03-12,13.24,77740.88,Cancelada,cliente,Keith Kelly,Pasaporte,114583765263325,"3955 Murray Springs South Matthew, CO 78402",(264)893,michael79@gmail.com,Cameron Thomas,NIE,165729759260979,"831 Bowen Lane Apt. 087 Stevensbury, WI 50685",545.636.,sabrina21@gmail.com,<memory at 0x11df02080>,1
327009,Boleta de Venta,8191295,78460261,2016-08-21,64.22,73410.02,Cancelada,cliente,Keith Kelly,Pasaporte,114583765263325,"3955 Murray Springs South Matthew, CO 78402",(264)893,michael79@gmail.com,Tyler Morrow,DNI,165891297121493,"70595 Christina Lodge Millstown, MA 86009",+1-694-2,jamieclark@yahoo.com,<memory at 0x11df2a8c0>,1
431818,Boleta de Venta,3219123,92204727,2016-05-25,38.79,63079.89,Completada,cliente,Trevor Watson,DNI,144964936160888,"280 Jackson Mews Williamsbury, PA 88436",722.333.,calhounjulie@yahoo.com,Tyler Morrow,DNI,165891297121493,"70595 Christina Lodge Millstown, MA 86009",+1-694-2,jamieclark@yahoo.com,<memory at 0x11df2a8c0>,1
475271,Factura,2635921,26849421,2022-04-01,43.12,84199.36,Cancelada,cliente,Richard Valdez,Tarjeta Residencia,193822083843761,"087 Tracy Trace Port Evelynview, DC 25911",53839800,youngmatthew@gmail.com,Colleen Buckley,Pasaporte,174994378820929,"0330 Baker Rapid Bergburgh, HI 72080",001-700-,cynthia16@gmail.com,<memory at 0x11df35240>,1
516963,Nota de Débito,9644938,30485394,2019-01-16,71.68,9395.7,En proceso,cliente,Richard Valdez,Tarjeta Residencia,193822083843761,"087 Tracy Trace Port Evelynview, DC 25911",53839800,youngmatthew@gmail.com,Christine Gonzalez,NIE,184220062969887,"0971 Alexandra Summit Apt. 974 Port Brianburgh, SC 95421",783.268.,herrerajodi@gmail.com,<memory at 0x11dd23ac0>,1
123022,Ticket de Venta,5046424,45050015,2015-01-26,77.42,58851.3,Reembolsada,cliente,Richard Bernard,NIE,143157252277362,"7918 Laura Lights Caitlinfort, RI 69392",+1-281-2,aramirez@hotmail.com,Mckenzie Lang,NIE,158668464934653,"115 Regina Springs Robinsonshire, AK 61161",+1-884-6,rhonda59@gmail.com,<memory at 0x11df4b7c0>,0
185209,Factura,4821916,37905316,2017-09-01,11.52,50869.67,Completada,cliente,Brittany Love,Tarjeta Residencia,129975654807275,"5522 Torres Fords Apt. 679 Port Michaelbury, HI 55785",671-659-,deanna39@yahoo.com,Mckenzie Lang,NIE,158668464934653,"115 Regina Springs Robinsonshire, AK 61161",+1-884-6,rhonda59@gmail.com,<memory at 0x11df4b7c0>,0
399696,Ticket de Venta,8427876,64672124,2021-12-22,85.5,7002.08,Completada,cliente,Richard Bernard,NIE,143157252277362,"7918 Laura Lights Caitlinfort, RI 69392",+1-281-2,aramirez@hotmail.com,Stephen Mueller,Pasaporte,166283007060055,"0996 David Summit Suite 512 Lake Sandraborough, NE 91260",(609)454,mejiatabitha@hotmail.com,<memory at 0x11defcf40>,0
