idusuario,nombre_usuario,tipo_documento,num_documento,direccion,telefono,email,clave,estado_usuario,nombre_rol,descripcion,estado_rol
7813279,Scott Baxter,NIE,111863290521767,"86719 George Bypass Evansfurt, DE 88980",+1-689-8,kennetharcher@yahoo.com,<memory at 0x11db9b340>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2662560,Jennifer Daniels,NIE,112647048059047,"10910 Mary Pine Apt. 810 North John, NJ 06445",574.774.,kleon@gmail.com,<memory at 0x11db9b400>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4778146,Joseph Acevedo,NIE,197083271121067,"07015 Jason Pike Port Kimberlytown, GU 94801",534.529.,leamanda@hotmail.com,<memory at 0x11db9b580>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
5562531,Ruth Nguyen,DNI,152019457650861,"254 Luke Lodge Apt. 931 North Kimberlyton, DC 37867",819.854.,markhill@yahoo.com,<memory at 0x11db9b640>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6854826,Scott Davis,NIE,120470432282801,Unit 9972 Box 8461 DPO AP 10362,524.342.,benjaminderek@hotmail.com,<memory at 0x11db9b940>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4784299,Rachel Wilson,Pasaporte,100202785319089,"794 Angela Walks Apt. 222 Port Danastad, MD 60841",908.847.,brandylucas@hotmail.com,<memory at 0x11db9ba00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9201837,Daniel Kelley,NIE,111103103154356,"2409 Brian Loaf Apt. 317 Kyleland, LA 73849",523-382-,randymendez@yahoo.com,<memory at 0x11db9bb80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6406320,James Richards DDS,NIE,168381745387707,"6470 Dana Causeway Suite 567 Lake Ashley, GU 60359",001-279-,joshuamoore@gmail.com,<memory at 0x11db9bdc0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1323179,Stephanie Smith,NIE,113795478268092,"452 Baldwin Coves Robertsfort, MO 52511",(226)266,craig65@hotmail.com,<memory at 0x11db9be80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1427636,Michael Hill,DNI,109462121887932,"935 Hill Isle Port Jamesshire, KS 57487",+1-372-8,samanthahart@gmail.com,<memory at 0x11db9bf40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1499322,David Campbell,Pasaporte,120832242573508,"81588 Conner Squares Suite 942 Waremouth, MS 54600",001-557-,davidschneider@gmail.com,<memory at 0x11dba8100>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2162886,Miss Mary Burgess,DNI,108136291543239,"997 Taylor Stravenue Dwaynefurt, AK 57796",220-632-,andrew76@yahoo.com,<memory at 0x11dba8340>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2736327,Joseph Allen,Pasaporte,111424754931913,"PSC 8790, Box 9133 APO AA 69456",+1-553-6,wrobles@gmail.com,<memory at 0x11dba8400>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
5081299,Evan Donaldson,DNI,199643609997524,USNV Nunez FPO AA 04544,509.907.,hughesrobert@hotmail.com,<memory at 0x11dba87c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1849575,Jack Thomas,NIE,138663712147681,"419 Kimberly Island South Tylerside, LA 19897",+1-729-3,wesleyburton@hotmail.com,<memory at 0x11dba8c40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2842858,George Moses,DNI,175957254521055,"830 Justin Station Seanberg, AZ 71862",(413)211,adkinsmark@hotmail.com,<memory at 0x11dba8d00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7911667,Brian Greene,DNI,166158287544552,"2169 Michael Fall Suite 868 Michellechester, AK 67182",573.572.,todd32@hotmail.com,<memory at 0x11dba8f40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8466681,Nicholas Clements,Pasaporte,132400314648807,Unit 4748 Box 7371 DPO AA 09083,498-777-,stacy91@yahoo.com,<memory at 0x11dba90c0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9652479,Melissa Smith,Pasaporte,131175566450947,"29907 Carr Passage Angelaville, WY 06876",749-473-,anthony91@gmail.com,<memory at 0x11dba9540>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9605375,Blake Flores,Pasaporte,154485235538182,"133 Gallagher Landing Apt. 731 East Danielmouth, WY 44817",714.345.,lmoreno@hotmail.com,<memory at 0x11dba9600>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3653903,Cynthia Johnson,Pasaporte,164099788738836,"55629 Anna Via Port Elizabethstad, AK 15249",810.641.,thompsonbrooke@hotmail.com,<memory at 0x11dba9c00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6170897,Travis Jones,DNI,189094971445525,"485 Mckenzie Ford Suite 872 Carolynburgh, VI 11349",61792255,paulahogan@gmail.com,<memory at 0x11dba9cc0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8194330,Martin Estrada,DNI,107155885150493,"85883 Hayden Ways Burnettburgh, NY 35421",620-538-,kathrynjoyce@gmail.com,<memory at 0x11dba9fc0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6410524,Daniel Riley,Pasaporte,171676794806563,"75758 Ross Plaza Andrewberg, UT 07280",+1-597-4,wardemily@gmail.com,<memory at 0x11dbaa140>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8050981,Kyle Juarez,Pasaporte,110926706282799,"6186 Laura Wall North Joshua, MD 45532",859.848.,pflores@hotmail.com,<memory at 0x11dbaa500>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9668907,Alexis Reynolds,NIE,182991554253114,"04921 Collins Mountains North Mariaville, WI 16366",837.749.,mary10@yahoo.com,<memory at 0x11dbaa800>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3449141,Paul Garcia,NIE,179463740021055,"261 Mendoza Port Monicamouth, IN 27713",279.371.,matthew93@hotmail.com,<memory at 0x11dbaab00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8483127,Sarah Willis,DNI,185461294553407,"4309 Mueller Canyon Suite 084 Cassandramouth, PW 82990",62427436,schmidtkathryn@yahoo.com,<memory at 0x11dbaabc0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8999223,Ian Moore,DNI,197884565344580,"0024 Christian Avenue Suite 708 West Joshua, PA 67220",+1-754-7,ccraig@gmail.com,<memory at 0x11dbaac80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9701697,Alan Franklin,Pasaporte,191606688645454,"23132 Martinez Alley Petershaven, IA 54649",+1-453-8,brenda30@yahoo.com,<memory at 0x11dbab100>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9802060,Alicia Osborne,Pasaporte,133248542581076,"36514 Luke Brook Apt. 778 North Melissa, KY 68493",001-728-,joel56@yahoo.com,<memory at 0x11dbab400>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9204045,Elizabeth Stein,NIE,138604851126612,"16094 Graham Park South Erin, GA 21290",570-954-,davidwhite@gmail.com,<memory at 0x11dbab4c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1321297,Christopher Williams,DNI,180139988246872,"9679 Christopher Place Port Elizabethbury, WA 11086",001-737-,grahamanna@yahoo.com,<memory at 0x11dbab640>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4612438,Debra Lam,Pasaporte,154707642784095,"8315 Hernandez Pike Danielleton, VA 23279",001-476-,lgregory@gmail.com,<memory at 0x11dbab7c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8931674,Gregory Kaiser,NIE,149355266662752,"776 Logan Rapid Apt. 724 New Anthonyfurt, DE 39429",479-491-,andrewsdaniel@hotmail.com,<memory at 0x11dbab880>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8704353,Alexandra Duran,Pasaporte,142278862852453,"21777 Jones Ford North Kentberg, PW 62512",(431)492,blakejacqueline@yahoo.com,<memory at 0x11dbaba00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4022629,Robin Garcia,DNI,138720328366443,"573 Serrano Prairie Hillland, GU 80441",549.509.,brookewebb@yahoo.com,<memory at 0x11dbabac0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9890151,William Wolfe,Pasaporte,174404280734060,"13885 Andrew Tunnel Aliville, PW 59262",218-836-,jennifergomez@hotmail.com,<memory at 0x11dbabb80>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3012968,George Daniel,Pasaporte,167912761278827,"756 Wilson Mall Suite 969 Clarkfort, VI 78903",001-597-,davidbradley@yahoo.com,<memory at 0x11dbabc40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2607467,Michael Sanchez,Pasaporte,121058074540400,"81246 Guerra Ports Apt. 739 East Judith, NM 75855",(547)866,mariasmith@hotmail.com,<memory at 0x11dbabd00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2865515,Kyle Sweeney,NIE,128696563726708,"068 Mary Camp Suite 914 Port Monique, FM 82574",533-746-,leeraymond@gmail.com,<memory at 0x11dbabe80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1694062,Johnny Rivera,Pasaporte,117568711956854,"64311 Michelle Parkway South Jeremiahberg, MD 20408",664.513.,cookdavid@gmail.com,<memory at 0x11dbabf40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8700275,Jessica Williams,DNI,117081014942071,"71193 Mcdonald Wells Port Stephanieburgh, VA 78759",72940208,molinajane@yahoo.com,<memory at 0x11dbbc040>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7979383,Jennifer Collins,NIE,155190875480444,"906 Allison Drive Anneburgh, VT 54330",861-523-,steven71@hotmail.com,<memory at 0x11dbbc400>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2859387,Emma Young,DNI,163146554904959,"886 David Lights Apt. 401 Lake Kevinbury, ND 71685",521-494-,eturner@gmail.com,<memory at 0x11dbbc580>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4751740,Pamela Gutierrez,DNI,135932045207937,Unit 6498 Box 0393 DPO AA 21466,653-350-,stephanie18@gmail.com,<memory at 0x11dbbc640>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3895677,Shelia Cruz,NIE,120013448759684,"5645 Parker Plains Port Janice, NY 05467",70829729,andrewdavenport@hotmail.com,<memory at 0x11dbbc700>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2189700,Dennis Park,Pasaporte,114023625169288,"89953 Kristen Lock Apt. 789 East Bradley, CA 12508",449-831-,townsenderica@hotmail.com,<memory at 0x11dbbc940>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8202629,Lindsay Escobar,DNI,113787295021452,"6182 Amanda Well Suite 853 Lake Kimberlystad, IL 17154",554.936.,lynchcory@yahoo.com,<memory at 0x11dbbca00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7825799,Sophia Fisher,Pasaporte,141545975640472,"944 Phillips Ville North Ashleytown, IA 05397",462-820-,austinwalters@gmail.com,<memory at 0x11dbbcb80>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1636744,Steven Hicks,Pasaporte,171821180440986,"376 Bradshaw Loaf West Barbarachester, NJ 09316",001-539-,daniel61@hotmail.com,<memory at 0x11dbbcc40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
5050763,Erika Hughes,NIE,113205498223004,"29909 Benson Crossroad Port Jonathan, WA 03147",(896)613,jenniferjackson@yahoo.com,<memory at 0x11dbbcdc0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7934349,Tina Jordan,NIE,168601462819229,"674 Sanchez Avenue Suite 764 Burkefurt, NE 03317",538-958-,donnapeck@gmail.com,<memory at 0x11dbbcf40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6592912,Jason Miller,DNI,124842153726366,"30910 Lucas Parkway Suite 420 Adammouth, UT 77960",802-884-,david95@gmail.com,<memory at 0x11dbbd0c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7412119,Michael Patterson,DNI,186596171047335,"641 Raven Lake Apt. 231 Port Scott, VI 94295",+1-631-4,sandrabrock@yahoo.com,<memory at 0x11dbbd300>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
5050775,Natalie Bradford,DNI,145998604700073,"6287 Amanda Inlet Apt. 046 East Emilyton, AS 00853",944.471.,wilsonsteven@gmail.com,<memory at 0x11dbbd3c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2625953,Oscar Henry,Pasaporte,155243528763818,"423 Travis Keys Suite 269 Brooketown, MS 57109",(602)751,hollowaymitchell@gmail.com,<memory at 0x11dbbd480>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4561330,James Burgess,DNI,181430837057976,"137 Phillips Springs Port Denisemouth, DE 46246",(699)787,jennajones@hotmail.com,<memory at 0x11dbbd9c0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1669560,Rachel Bell,DNI,178147645759934,"PSC 7548, Box 8973 APO AE 86554",(294)842,scottkathy@hotmail.com,<memory at 0x11dbbdb40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7426496,Troy Hamilton,Pasaporte,187294383989187,"62351 Sarah Flat Westchester, ID 59845",001-958-,rwiggins@yahoo.com,<memory at 0x11dbbdcc0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8200640,Angela Salazar,DNI,197422354526661,"7747 Heidi Street Wrightburgh, MN 31526",(643)320,tracyfoster@hotmail.com,<memory at 0x11dbbde40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8712645,Glen Martinez,DNI,182728232190417,"6173 Linda Cape Myersland, KS 41852",+1-632-5,hunterholmes@hotmail.com,<memory at 0x11dbbe080>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6855115,Kenneth Gross,DNI,199254776175061,Unit 4691 Box 0802 DPO AA 17594,+1-969-8,robertsmarissa@gmail.com,<memory at 0x11dbbe140>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4397516,Tiffany Romero,NIE,188155596992982,"070 Michelle Hollow Johnsonside, TN 86100",(824)298,rgarcia@hotmail.com,<memory at 0x11dbbe200>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7694799,Billy Mathis,Pasaporte,118433378847191,"537 Jean Turnpike Apt. 336 South Brian, TX 30482",78960847,holtanthony@yahoo.com,<memory at 0x11dbbe2c0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8174041,Christine Hernandez,Pasaporte,138856260123102,"58363 Sanchez Plaza West Jennifer, OK 22209",(432)484,marilyn41@gmail.com,<memory at 0x11dbbe5c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8040924,Christopher Aguilar,Pasaporte,115947023157730,"66934 Harris Unions Apt. 427 Osborneberg, KS 01977",(263)572,veronicamiller@hotmail.com,<memory at 0x11dbbe800>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3510750,Kevin Berry,NIE,104859601396203,"8160 Smith Union Apt. 485 Lake Brendan, NC 38462",211-441-,karen82@hotmail.com,<memory at 0x11dbbe980>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1870304,Michael Fletcher,NIE,179708733854187,Unit 3029 Box 5379 DPO AP 92332,821.792.,emcconnell@hotmail.com,<memory at 0x11dbbea40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3557858,Kimberly Hayes,Pasaporte,144565059725805,"5219 Joshua Park Suite 844 Stevenland, IA 18996",98899340,andersonraymond@gmail.com,<memory at 0x11dbbeb00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6136295,Nicole Berry,Pasaporte,152820867930615,"576 Justin Circles Suite 613 Stewartmouth, DC 66103",399-246-,berryjustin@gmail.com,<memory at 0x11dbbee00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9067019,Joshua Washington,Pasaporte,189174733509142,"50657 Lisa Port Suite 732 Port Erinshire, NC 23008",(382)798,gsexton@hotmail.com,<memory at 0x11dbbf640>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4043275,Angela Rojas,DNI,108667016051221,"27034 Taylor Grove Apt. 541 Port Michael, OK 81423",(480)651,lewissherry@yahoo.com,<memory at 0x11dbbf7c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6400527,Scott Pierce,DNI,138785129904667,"020 Cynthia Turnpike Hopkinston, MA 36587",(227)699,nbishop@gmail.com,<memory at 0x11dbbf940>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8956436,Michael Krause,NIE,105795799814683,Unit 9974 Box 8482 DPO AP 73616,001-715-,mtucker@gmail.com,<memory at 0x11dbbfa00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1208858,Lisa Luna,Pasaporte,178283375626781,"688 Danielle Islands West Alan, NY 65806",620-872-,kcobb@gmail.com,<memory at 0x11dbbfac0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7995936,Brandon Brown,DNI,116658478756387,"90927 Michelle Lodge Suite 336 Port Rebeccaview, NJ 37943",+1-506-2,msmith@hotmail.com,<memory at 0x11dbbfc40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3826212,Stuart Curry,Pasaporte,132627200152102,"1122 Lara Island South Kurt, GA 75591",475.753.,vhumphrey@hotmail.com,<memory at 0x11dbbfd00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
